centrality,times_best_high,times_best_low,times_best_overall
relative_in_degree_centrality,0,7,0
degree_centrality,7,0,7
core_number,0,3,0
harmonic_centrality,4,1,4
eigenvector_centrality,4,2,4
hits_authority,0,1,0
hits_hub,1,0,1
betweenness_centrality,2,0,2
pagerank,1,4,1
in_degree_centrality,7,5,7
closeness_centrality,0,3,0
