centrality,times_best_high,times_best_low,times_best_overall
eigenvector_centrality,1,2,1
pagerank,0,5,0
closeness_centrality,0,1,0
out_degree_centrality,3,0,3
degree_centrality,0,1,0
hits_hub,1,2,1
core_number,1,0,1
disruption,11,2,11
in_degree_centrality,0,4,0
