centrality,times_best_high,times_best_low,times_best_overall
pagerank,6,3,6
closeness_centrality,0,6,0
hits_authority,3,0,3
core_number,1,2,1
degree_centrality,3,3,3
relative_in_degree_centrality,0,24,0
harmonic_centrality,1,0,1
disruption,9,1,9
in_degree_centrality,27,11,27
