centrality,times_best_high,times_best_low,times_best_overall
relative_in_degree_centrality,0,5,0
degree_centrality,3,1,3
core_number,1,2,1
eigenvector_centrality,1,0,1
hits_authority,1,0,1
in_degree_centrality,5,2,5
closeness_centrality,0,1,0
