centrality,times_best_high,times_best_low,times_best_overall
betweenness_centrality,6,2,6
hits_authority,6,1,6
pagerank,1,1,1
eigenvector_centrality,0,1,0
in_degree_centrality,1,11,1
out_degree_centrality,2,2,2
relative_in_degree_centrality,0,1,0
core_number,7,23,7
harmonic_centrality,0,2,0
hits_hub,3,3,3
degree_centrality,33,12,33
