source_ecli,count
ECLI:CE:ECHR:2012:0510JUD003479609,82
ECLI:CE:ECHR:2024:0523JUD000623220,81
ECLI:CE:ECHR:2009:1126JUD002266608,81
ECLI:CE:ECHR:2014:0708JUD001501811,81
ECLI:CE:ECHR:2014:0624JUD004835707,81
ECLI:CE:ECHR:2012:0612JUD003018907,80
ECLI:CE:ECHR:2023:0627JUD003665818,80
ECLI:CE:ECHR:2016:1115JUD002413011,80
ECLI:CE:ECHR:2022:0315JUD004357218,79
ECLI:CE:ECHR:2023:0711JUD001093421,79
ECLI:CE:ECHR:2005:1110JUD004477498,78
ECLI:CE:ECHR:2014:0109JUD005303608,78
ECLI:CE:ECHR:2009:0519JUD003442504,77
ECLI:CE:ECHR:2011:0215JUD000470404,77
ECLI:CE:ECHR:2012:1213JUD003963009,77
ECLI:CE:ECHR:2018:0531JUD003323412,76
ECLI:CE:ECHR:2006:0329JUD006489701,76
ECLI:CE:ECHR:2012:0322JUD003007806,76
ECLI:CE:ECHR:2022:1103JUD004981209,76
ECLI:CE:ECHR:2018:1127JUD001498809,76
ECLI:CE:ECHR:2006:0329JUD006469901,76
ECLI:CE:ECHR:2023:1123JUD005084921,76
ECLI:CE:ECHR:2006:0329JUD006488601,76
ECLI:CE:ECHR:2006:0329JUD006510201,76
ECLI:CE:ECHR:2015:0402JUD003437313,76
ECLI:CE:ECHR:2006:0329JUD006507501,75
ECLI:CE:ECHR:2024:0502JUD003527119,75
ECLI:CE:ECHR:2006:0329JUD006470501,75
ECLI:CE:ECHR:2023:0926JUD001566920,75
ECLI:CE:ECHR:2011:0913JUD003720408,75
ECLI:CE:ECHR:2018:1120JUD001430517,75
ECLI:CE:ECHR:2022:0914JUD002438419,75
ECLI:CE:ECHR:2006:0329JUD006489001,75
ECLI:CE:ECHR:2021:0311JUD002465518,75
ECLI:CE:ECHR:2021:0126JUD007331317,74
ECLI:CE:ECHR:2007:0313JUD003917705,74
ECLI:CE:ECHR:2006:0329JUD006236100,74
ECLI:CE:ECHR:2011:0721JUD003218104,74
ECLI:CE:ECHR:2022:0203JUD000146920,74
ECLI:CE:ECHR:2016:0323JUD004361111,73
ECLI:CE:ECHR:2018:1115JUD002958012,73
ECLI:CE:ECHR:2014:1009JUD003948305,73
ECLI:CE:ECHR:2012:1218JUD000294406,73
ECLI:CE:ECHR:2017:0330JUD003558908,73
ECLI:CE:ECHR:2014:1007JUD002849002,73
ECLI:CE:ECHR:2014:0612JUD005785611,73
ECLI:CE:ECHR:2023:1123JUD005083718,73
ECLI:CE:ECHR:2012:0925JUD001182808,72
ECLI:CE:ECHR:2023:1123JUD002862821,72
ECLI:CE:ECHR:2007:1106JUD001390905,72
ECLI:CE:ECHR:2013:0326JUD002179408,72
ECLI:CE:ECHR:2021:0622JUD004016507,72
ECLI:CE:ECHR:2022:0906JUD007588116,71
ECLI:CE:ECHR:2021:0121JUD001536714,71
ECLI:CE:ECHR:2014:0724JUD000751113,71
ECLI:CE:ECHR:2014:0724JUD002876111,71
ECLI:CE:ECHR:2008:0212JUD002190604,71
ECLI:CE:ECHR:2019:1029JUD003010018,71
ECLI:CE:ECHR:2009:0917JUD001024903,71
ECLI:CE:ECHR:2021:0209JUD001522719,71
ECLI:CE:ECHR:2005:0412JUD003637802,70
ECLI:CE:ECHR:2013:1210JUD004539406,70
ECLI:CE:ECHR:2019:1119JUD007573412,70
ECLI:CE:ECHR:2017:0711JUD001986712,70
ECLI:CE:ECHR:2014:0429JUD003227707,70
ECLI:CE:ECHR:2013:1021JUD004275009,70
ECLI:CE:ECHR:2018:1204JUD001021112,70
ECLI:CE:ECHR:2023:1205JUD003561419,70
ECLI:CE:ECHR:2018:0913JUD005817013,70
ECLI:CE:ECHR:2022:0609JUD004927011,69
ECLI:CE:ECHR:2014:0211JUD000467807,69
ECLI:CE:ECHR:2011:0707JUD005572107,69
ECLI:CE:ECHR:2019:0708JUD005401210,69
ECLI:CE:ECHR:2010:1125JUD004344902,68
ECLI:CE:ECHR:2021:0617JUD002475313,68
ECLI:CE:ECHR:2016:0512JUD006223509,68
ECLI:CE:ECHR:2024:0404JUD004190720,68
ECLI:CE:ECHR:2021:1108JUD004986819,68
ECLI:CE:ECHR:2018:0717JUD003800412,68
ECLI:CE:ECHR:2016:0621JUD007613612,67
ECLI:CE:ECHR:2022:0623JUD001975013,67
ECLI:CE:ECHR:2014:0703JUD003792605,67
ECLI:CE:ECHR:2013:1024JUD005294310,67
ECLI:CE:ECHR:2011:1018JUD004156107,67
ECLI:CE:ECHR:2016:0112JUD003753713,66
ECLI:CE:ECHR:2020:1110JUD002319917,66
ECLI:CE:ECHR:2023:1026JUD005167815,66
ECLI:CE:ECHR:2022:0607JUD003240110,66
ECLI:CE:ECHR:2014:0717JUD004784808,66
ECLI:CE:ECHR:2023:0420JUD000057919,66
ECLI:CE:ECHR:2003:0312JUD004622199,65
ECLI:CE:ECHR:2015:1015JUD003755305,65
ECLI:CE:ECHR:2021:0112JUD005010410,65
ECLI:CE:ECHR:2012:1204JUD004145207,65
