centrality,times_best_high,times_best_low,times_best_overall
degree_centrality,23,5,31
hits_authority,1,0,2
pagerank,11,5,8
eigenvector_centrality,3,0,0
in_degree_centrality,26,11,25
out_degree_centrality,2,1,1
relative_in_degree_centrality,0,24,0
core_number,4,21,11
harmonic_centrality,1,7,1
hits_hub,4,2,0
closeness_centrality,4,3,0
