centrality,times_best_high,times_best_low,times_best_overall
hits_hub,0,1,0
hits_authority,2,0,2
pagerank,8,0,8
in_degree_centrality,25,13,25
out_degree_centrality,1,0,1
relative_in_degree_centrality,0,20,0
core_number,11,27,11
harmonic_centrality,1,0,1
closeness_centrality,0,7,0
degree_centrality,31,11,31
