Correlation,Centrality,Ground Truth
-0.10469883344225832,degree_centrality,importance
0.2855232654533779,degree_centrality,doctypebranch
0.19274316309852424,in_degree_centrality,importance
0.4424366325546457,in_degree_centrality,doctypebranch
-0.34651218788620464,out_degree_centrality,importance
-0.059110580728208136,out_degree_centrality,doctypebranch
-0.12248723381642361,betweenness_centrality,importance
-0.023131963152708105,betweenness_centrality,doctypebranch
0.19274316309852424,closeness_centrality,importance
0.4424366325546457,closeness_centrality,doctypebranch
-0.11320986128157104,core_number,importance
0.27228183817943524,core_number,doctypebranch
0.19274316309852424,relative_in_degree_centrality,importance
0.4424366325546457,relative_in_degree_centrality,doctypebranch
0.19274316309852424,eigenvector_centrality,importance
0.4424366325546457,eigenvector_centrality,doctypebranch
0.19518369885192996,pagerank,importance
0.4425001782113547,pagerank,doctypebranch
-0.34694541714104254,hits_hub,importance
-0.059084233242732376,hits_hub,doctypebranch
0.1107190341464911,hits_authority,importance
0.22649464363153143,hits_authority,doctypebranch
0.1927570031274868,harmonic_centrality,importance
0.4424684019606792,harmonic_centrality,doctypebranch
0.30876081450040327,disruption,importance
0.4429526473472006,disruption,doctypebranch
0.30869429272552795,composite,importance
0.4506334603448393,composite,doctypebranch
