Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
importance_merged_150_cutoff_balanced_importance/article_41,3595,3595,0,25685,3230,365,13,3206,0.00198794,"2: 3288, 1: 295, 3: 12","2: 1616, 1: 1511, 3: 468","1: 258, 2: 70, 3: 7","2: 1546, 1: 1253, 3: 461"
split_unbalanced/article_8,3046,3046,0,20696,2657,389,2,2655,0.00223136,"2: 2380, 3: 547, 1: 119","3: 1370, 2: 1140, 1: 536","1: 88, 2: 31, 3: 12","3: 1358, 2: 1109, 1: 448"
importance_merged_100_cutoff_unbalanced/article_8,3046,3046,0,20696,2657,389,2,2655,0.00223136,"2: 2380, 3: 547, 1: 119","3: 1370, 2: 1140, 1: 536","1: 88, 2: 31, 3: 12","3: 1358, 2: 1109, 1: 448"
importance_merged_150_cutoff_unbalanced/article_8,3046,3046,0,20696,2657,389,2,2655,0.00223136,"2: 2380, 3: 547, 1: 119","3: 1370, 2: 1140, 1: 536","1: 88, 2: 31, 3: 12","3: 1358, 2: 1109, 1: 448"
split_balanced_importance/article_6,2987,2987,0,11460,2392,595,6,2380,0.00128487,"2: 2412, 3: 383, 1: 192","3: 1243, 2: 894, 1: 850","1: 192, 2: 72, 3: 13","3: 1230, 2: 822, 1: 658"
importance_merged_100_cutoff_balanced_importance/article_6,2987,2987,0,11460,2392,595,6,2380,0.00128487,"2: 2412, 3: 383, 1: 192","3: 1243, 2: 894, 1: 850","1: 192, 2: 72, 3: 13","3: 1230, 2: 822, 1: 658"
importance_merged_150_cutoff_balanced_importance/article_6,2987,2987,0,11460,2392,595,6,2380,0.00128487,"2: 2412, 3: 383, 1: 192","3: 1243, 2: 894, 1: 850","1: 192, 2: 72, 3: 13","3: 1230, 2: 822, 1: 658"
split_unbalanced/article_29,2521,2521,0,2889,1717,804,70,1496,0.00045475,"2: 2513, 1: 8","3: 1840, 2: 521, 1: 160",,"3: 1840, 2: 521, 1: 160"
importance_merged_100_cutoff_unbalanced/article_29,2521,2521,0,2889,1717,804,70,1496,0.00045475,"2: 2513, 1: 8","3: 1840, 2: 521, 1: 160",,"3: 1840, 2: 521, 1: 160"
importance_merged_150_cutoff_unbalanced/article_29,2521,2521,0,2889,1717,804,70,1496,0.00045475,"2: 2513, 1: 8","3: 1840, 2: 521, 1: 160",,"3: 1840, 2: 521, 1: 160"
split_unbalanced/article_10,1691,1691,0,14335,1447,244,2,1445,0.00501611,"2: 1279, 3: 332, 1: 80","3: 768, 2: 632, 1: 291","1: 56, 2: 21, 3: 4","3: 764, 2: 611, 1: 235"
importance_merged_100_cutoff_unbalanced/article_10,1691,1691,0,14335,1447,244,2,1445,0.00501611,"2: 1279, 3: 332, 1: 80","3: 768, 2: 632, 1: 291","1: 56, 2: 21, 3: 4","3: 764, 2: 611, 1: 235"
importance_merged_150_cutoff_unbalanced/article_10,1691,1691,0,14335,1447,244,2,1445,0.00501611,"2: 1279, 3: 332, 1: 80","3: 768, 2: 632, 1: 291","1: 56, 2: 21, 3: 4","3: 764, 2: 611, 1: 235"
split_balanced_importance/article_35,1585,1585,0,8179,1437,148,4,1429,0.00325774,"2: 1405, 1: 178, 3: 2","2: 823, 1: 679, 3: 83","1: 78, 2: 19, 3: 2","2: 804, 1: 601, 3: 81"
