centrality,times_best_high,times_best_low,times_best_overall
eigenvector_centrality,1,3,1
pagerank,0,5,0
closeness_centrality,0,6,0
out_degree_centrality,5,1,5
hits_authority,2,0,2
degree_centrality,4,3,4
hits_hub,2,2,2
core_number,3,2,3
disruption,16,3,16
in_degree_centrality,5,13,5
