Centrality,article_1,article_10,article_10-1,article_10-2,article_11,article_11-1,article_11-2,article_13,article_14,article_18,article_2,article_2-1,article_2-2,article_29,article_29-3,article_3,article_3+8,article_34,article_35,article_35-1,article_35-3,article_35-3-a,article_37,article_37-1,article_37-1-c,article_38,article_38-1-b,article_39,article_4,article_4-2,article_41,article_46,article_46-2,article_5,article_5-1,article_5-1-c,article_5-1-e,article_5-1-f,article_5-2,article_5-3,article_5-4,article_5-5,article_6,article_6-1,article_6-2,article_6-3,article_6-3-b,article_6-3-c,article_6-3-d,article_7,article_7-1,article_8,article_8-1,article_8-2,article_9,article_9-1,article_9-2,article_P1-1,article_P1-1-1,article_P1-1-2,article_P1-3,article_P4-2
betweenness_centrality,Doctypebranch: -0.0506 | Importance: -0.0519,Doctypebranch: -0.0368 | Importance: 0.0477,Doctypebranch: -0.0403 | Importance: 0.0498,Doctypebranch: 0.0080 | Importance: 0.1227,Doctypebranch: -0.0112 | Importance: -0.0692,Doctypebranch: -0.0175 | Importance: -0.0779,Doctypebranch: 0.0356 | Importance: -0.0788,Doctypebranch: -0.1083 | Importance: -0.0994,Doctypebranch: -0.0041 | Importance: 0.0277,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0147 | Importance: 0.0053,Doctypebranch: 0.0321 | Importance: -0.0478,Doctypebranch: 0.0612 | Importance: 0.0905,Doctypebranch: 0.0089 | Importance: -0.0388,Doctypebranch: 0.0089 | Importance: -0.0388,Doctypebranch: -0.0308 | Importance: -0.0511,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.0986 | Importance: -0.0233,Doctypebranch: 0.0259 | Importance: 0.0414,Doctypebranch: -0.0057 | Importance: 0.0417,Doctypebranch: -0.0394 | Importance: -0.0437,Doctypebranch: -0.1569 | Importance: -0.0871,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0084 | Importance: 0.0309,Doctypebranch: 0.0294 | Importance: -0.1297,Doctypebranch: 0.0250 | Importance: 0.0384,Doctypebranch: 0.0913 | Importance: 0.1147,Doctypebranch: 0.0733 | Importance: 0.0777,Doctypebranch: -0.0329 | Importance: -0.0177,Doctypebranch: -0.0461 | Importance: -0.0054,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.0137 | Importance: -0.0763,Doctypebranch: -0.3243 | Importance: -0.1479,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.0102 | Importance: 0.0009,Doctypebranch: -0.0299 | Importance: -0.0060,Doctypebranch: -0.0331 | Importance: 0.0073,Doctypebranch: -0.0249 | Importance: -0.0638,Doctypebranch: -0.0329 | Importance: -0.0522,Doctypebranch: 0.0840 | Importance: 0.1210,Doctypebranch: 0.0022 | Importance: -0.0025,Doctypebranch: 0.0105 | Importance: 0.0598,Doctypebranch: 0.0030 | Importance: 0.0278,Doctypebranch: -0.0124 | Importance: 0.0218,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0171 | Importance: 0.0212,Doctypebranch: 0.0114 | Importance: 0.0154,Doctypebranch: 0.0646 | Importance: 0.0399,Doctypebranch: -0.0240 | Importance: -0.0715,Doctypebranch: -0.0449 | Importance: 0.0837,Doctypebranch: 0.0540 | Importance: 0.1935,Doctypebranch: -0.0010 | Importance: -0.0763,Doctypebranch: -0.0081 | Importance: -0.0458,Doctypebranch: 0.0325 | Importance: -0.0238,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0325 | Importance: -0.1536
closeness_centrality,Doctypebranch: -0.3631 | Importance: -0.4191,Doctypebranch: -0.3694 | Importance: -0.3138,Doctypebranch: -0.3812 | Importance: -0.3368,Doctypebranch: -0.3783 | Importance: -0.3125,Doctypebranch: -0.2768 | Importance: -0.3038,Doctypebranch: -0.2843 | Importance: -0.3684,Doctypebranch: -0.2189 | Importance: -0.2491,Doctypebranch: -0.2999 | Importance: -0.3486,Doctypebranch: -0.2386 | Importance: -0.2290,Doctypebranch: -0.0842 | Importance: -0.0219,Doctypebranch: -0.3189 | Importance: -0.3352,Doctypebranch: -0.3431 | Importance: -0.3866,Doctypebranch: -0.2232 | Importance: -0.2421,Doctypebranch: -0.1522 | Importance: -0.1958,Doctypebranch: -0.1522 | Importance: -0.1958,Doctypebranch: -0.3267 | Importance: -0.3734,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.4445 | Importance: -0.2490,Doctypebranch: -0.3915 | Importance: -0.3135,Doctypebranch: -0.4107 | Importance: -0.3012,Doctypebranch: -0.3985 | Importance: -0.3128,Doctypebranch: -0.3931 | Importance: -0.3040,Doctypebranch: -0.2189 | Importance: -0.2122,Doctypebranch: -0.1278 | Importance: -0.1811,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0130 | Importance: -0.1894,Doctypebranch: -0.3403 | Importance: -0.3579,Doctypebranch: -0.1830 | Importance: -0.2489,Doctypebranch: -0.3346 | Importance: -0.3512,Doctypebranch: -0.4230 | Importance: -0.3456,Doctypebranch: -0.4557 | Importance: -0.3937,Doctypebranch: -0.3619 | Importance: -0.3376,Doctypebranch: -0.3591 | Importance: -0.3169,Doctypebranch: -0.2880 | Importance: -0.2591,Doctypebranch: -0.3858 | Importance: -0.3498,Doctypebranch: -0.2735 | Importance: -0.3808,Doctypebranch: -0.1694 | Importance: -0.1088,Doctypebranch: -0.3467 | Importance: -0.3076,Doctypebranch: -0.3210 | Importance: -0.3129,Doctypebranch: -0.2580 | Importance: -0.2728,Doctypebranch: -0.3464 | Importance: -0.4104,Doctypebranch: -0.3391 | Importance: -0.3909,Doctypebranch: -0.2517 | Importance: -0.2264,Doctypebranch: -0.2513 | Importance: -0.3135,Doctypebranch: -0.3179 | Importance: -0.2262,Doctypebranch: -0.2306 | Importance: -0.3593,Doctypebranch: -0.1748 | Importance: -0.2788,Doctypebranch: -0.2963 | Importance: -0.2607,Doctypebranch: -0.2192 | Importance: -0.2185,Doctypebranch: -0.2923 | Importance: -0.2960,Doctypebranch: -0.2953 | Importance: -0.3100,Doctypebranch: -0.2161 | Importance: -0.2003,Doctypebranch: -0.2895 | Importance: -0.2697,Doctypebranch: -0.3664 | Importance: -0.1335,Doctypebranch: -0.5583 | Importance: -0.2353,Doctypebranch: -0.3231 | Importance: -0.3822,Doctypebranch: -0.3113 | Importance: -0.3651,Doctypebranch: -0.3197 | Importance: -0.2906,Doctypebranch: -0.3694 | Importance: -0.4146,Doctypebranch: -0.2134 | Importance: -0.3053
core_number,Doctypebranch: -0.3419 | Importance: -0.3192,Doctypebranch: -0.2833 | Importance: -0.1465,Doctypebranch: -0.2945 | Importance: -0.1547,Doctypebranch: -0.1963 | Importance: 0.0055,Doctypebranch: -0.2666 | Importance: -0.2221,Doctypebranch: -0.2851 | Importance: -0.2832,Doctypebranch: -0.0963 | Importance: -0.0015,Doctypebranch: -0.3072 | Importance: -0.2777,Doctypebranch: -0.1553 | Importance: -0.1087,Doctypebranch: -0.0511 | Importance: 0.0443,Doctypebranch: -0.2318 | Importance: -0.1834,Doctypebranch: -0.2717 | Importance: -0.2489,Doctypebranch: -0.1320 | Importance: -0.1733,Doctypebranch: -0.0853 | Importance: -0.0930,Doctypebranch: -0.0853 | Importance: -0.0930,Doctypebranch: -0.2926 | Importance: -0.2763,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.3017 | Importance: -0.0662,Doctypebranch: -0.2584 | Importance: -0.1311,Doctypebranch: -0.2501 | Importance: -0.0881,Doctypebranch: -0.2486 | Importance: -0.1902,Doctypebranch: -0.2581 | Importance: -0.2190,Doctypebranch: -0.1743 | Importance: -0.2557,Doctypebranch: -0.1090 | Importance: -0.2177,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0185 | Importance: -0.2691,Doctypebranch: -0.2539 | Importance: -0.1548,Doctypebranch: -0.1242 | Importance: -0.0249,Doctypebranch: -0.2207 | Importance: -0.1153,Doctypebranch: -0.2166 | Importance: -0.2319,Doctypebranch: -0.2236 | Importance: -0.2537,Doctypebranch: -0.3054 | Importance: -0.2312,Doctypebranch: -0.2860 | Importance: -0.1802,Doctypebranch: -0.2585 | Importance: -0.1523,Doctypebranch: -0.3413 | Importance: -0.2573,Doctypebranch: -0.2115 | Importance: -0.2860,Doctypebranch: -0.1322 | Importance: -0.0073,Doctypebranch: -0.2885 | Importance: -0.2325,Doctypebranch: -0.3185 | Importance: -0.2579,Doctypebranch: -0.2652 | Importance: -0.1999,Doctypebranch: -0.3247 | Importance: -0.3069,Doctypebranch: -0.3280 | Importance: -0.2668,Doctypebranch: -0.1140 | Importance: -0.1052,Doctypebranch: -0.2003 | Importance: -0.1780,Doctypebranch: -0.2230 | Importance: 0.0153,Doctypebranch: -0.1527 | Importance: -0.2184,Doctypebranch: -0.1764 | Importance: -0.1803,Doctypebranch: -0.2150 | Importance: -0.2387,Doctypebranch: -0.1463 | Importance: -0.2051,Doctypebranch: -0.2375 | Importance: -0.1732,Doctypebranch: -0.2434 | Importance: -0.1813,Doctypebranch: -0.1160 | Importance: 0.0260,Doctypebranch: -0.1831 | Importance: -0.1910,Doctypebranch: -0.2565 | Importance: -0.1045,Doctypebranch: -0.3981 | Importance: -0.1268,Doctypebranch: -0.2723 | Importance: -0.3033,Doctypebranch: -0.2740 | Importance: -0.2508,Doctypebranch: -0.2205 | Importance: -0.2351,Doctypebranch: -0.2406 | Importance: -0.1882,Doctypebranch: -0.1543 | Importance: -0.0668
degree_centrality,Doctypebranch: -0.3411 | Importance: -0.3185,Doctypebranch: -0.2835 | Importance: -0.1491,Doctypebranch: -0.2946 | Importance: -0.1570,Doctypebranch: -0.1999 | Importance: 0.0020,Doctypebranch: -0.2654 | Importance: -0.2137,Doctypebranch: -0.2855 | Importance: -0.2756,Doctypebranch: -0.0920 | Importance: 0.0179,Doctypebranch: -0.3065 | Importance: -0.2789,Doctypebranch: -0.1561 | Importance: -0.1030,Doctypebranch: -0.0471 | Importance: 0.0509,Doctypebranch: -0.2259 | Importance: -0.1784,Doctypebranch: -0.2687 | Importance: -0.2485,Doctypebranch: -0.1404 | Importance: -0.1720,Doctypebranch: -0.0825 | Importance: -0.0921,Doctypebranch: -0.0825 | Importance: -0.0921,Doctypebranch: -0.2932 | Importance: -0.2765,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.3039 | Importance: -0.0702,Doctypebranch: -0.2587 | Importance: -0.1290,Doctypebranch: -0.2550 | Importance: -0.0895,Doctypebranch: -0.2533 | Importance: -0.1916,Doctypebranch: -0.2699 | Importance: -0.2179,Doctypebranch: -0.1726 | Importance: -0.2559,Doctypebranch: -0.1072 | Importance: -0.2173,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0185 | Importance: -0.2691,Doctypebranch: -0.2511 | Importance: -0.1536,Doctypebranch: -0.1105 | Importance: -0.0392,Doctypebranch: -0.2199 | Importance: -0.1163,Doctypebranch: -0.2128 | Importance: -0.2090,Doctypebranch: -0.2230 | Importance: -0.2200,Doctypebranch: -0.3061 | Importance: -0.2309,Doctypebranch: -0.2869 | Importance: -0.1824,Doctypebranch: -0.2482 | Importance: -0.1413,Doctypebranch: -0.3303 | Importance: -0.2549,Doctypebranch: -0.2340 | Importance: -0.3110,Doctypebranch: -0.1202 | Importance: 0.0031,Doctypebranch: -0.2903 | Importance: -0.2349,Doctypebranch: -0.3194 | Importance: -0.2568,Doctypebranch: -0.2684 | Importance: -0.2015,Doctypebranch: -0.3239 | Importance: -0.3079,Doctypebranch: -0.3283 | Importance: -0.2695,Doctypebranch: -0.1095 | Importance: -0.0878,Doctypebranch: -0.2054 | Importance: -0.1782,Doctypebranch: -0.2303 | Importance: 0.0139,Doctypebranch: -0.1694 | Importance: -0.2218,Doctypebranch: -0.1758 | Importance: -0.1853,Doctypebranch: -0.2150 | Importance: -0.2362,Doctypebranch: -0.1464 | Importance: -0.2042,Doctypebranch: -0.2302 | Importance: -0.1691,Doctypebranch: -0.2371 | Importance: -0.1770,Doctypebranch: -0.1074 | Importance: 0.0300,Doctypebranch: -0.1846 | Importance: -0.1921,Doctypebranch: -0.2557 | Importance: -0.0972,Doctypebranch: -0.3759 | Importance: -0.1074,Doctypebranch: -0.2713 | Importance: -0.3054,Doctypebranch: -0.2727 | Importance: -0.2522,Doctypebranch: -0.2186 | Importance: -0.2379,Doctypebranch: -0.2398 | Importance: -0.1603,Doctypebranch: -0.1352 | Importance: -0.0817
disruption,Doctypebranch: -0.3101 | Importance: -0.3708,Doctypebranch: -0.3493 | Importance: -0.3523,Doctypebranch: -0.3562 | Importance: -0.3752,Doctypebranch: -0.3745 | Importance: -0.3937,Doctypebranch: -0.2660 | Importance: -0.2719,Doctypebranch: -0.2692 | Importance: -0.3338,Doctypebranch: -0.2158 | Importance: -0.2003,Doctypebranch: -0.2405 | Importance: -0.2949,Doctypebranch: -0.2404 | Importance: -0.2604,Doctypebranch: -0.0842 | Importance: -0.0219,Doctypebranch: -0.2983 | Importance: -0.3237,Doctypebranch: -0.3211 | Importance: -0.3187,Doctypebranch: -0.2243 | Importance: -0.2847,Doctypebranch: -0.1567 | Importance: -0.2129,Doctypebranch: -0.1567 | Importance: -0.2129,Doctypebranch: -0.2925 | Importance: -0.3379,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.4433 | Importance: -0.2975,Doctypebranch: -0.3804 | Importance: -0.3279,Doctypebranch: -0.4084 | Importance: -0.3325,Doctypebranch: -0.4006 | Importance: -0.3182,Doctypebranch: -0.4063 | Importance: -0.3360,Doctypebranch: -0.2176 | Importance: -0.2120,Doctypebranch: -0.1278 | Importance: -0.1811,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0130 | Importance: -0.1894,Doctypebranch: -0.3184 | Importance: -0.3658,Doctypebranch: -0.1614 | Importance: -0.2404,Doctypebranch: -0.3203 | Importance: -0.3662,Doctypebranch: -0.4316 | Importance: -0.3803,Doctypebranch: -0.4520 | Importance: -0.3833,Doctypebranch: -0.3357 | Importance: -0.3352,Doctypebranch: -0.3396 | Importance: -0.3356,Doctypebranch: -0.2655 | Importance: -0.2472,Doctypebranch: -0.3295 | Importance: -0.2816,Doctypebranch: -0.2528 | Importance: -0.3904,Doctypebranch: -0.1739 | Importance: -0.1060,Doctypebranch: -0.3372 | Importance: -0.3141,Doctypebranch: -0.2700 | Importance: -0.2907,Doctypebranch: -0.2353 | Importance: -0.2679,Doctypebranch: -0.3061 | Importance: -0.3548,Doctypebranch: -0.2958 | Importance: -0.3379,Doctypebranch: -0.2659 | Importance: -0.2273,Doctypebranch: -0.2356 | Importance: -0.3312,Doctypebranch: -0.3022 | Importance: -0.2701,Doctypebranch: -0.2212 | Importance: -0.3652,Doctypebranch: -0.1560 | Importance: -0.2781,Doctypebranch: -0.2960 | Importance: -0.2631,Doctypebranch: -0.2261 | Importance: -0.2202,Doctypebranch: -0.2865 | Importance: -0.2986,Doctypebranch: -0.2870 | Importance: -0.3001,Doctypebranch: -0.2220 | Importance: -0.1862,Doctypebranch: -0.2899 | Importance: -0.2439,Doctypebranch: -0.3487 | Importance: -0.1988,Doctypebranch: -0.5322 | Importance: -0.3316,Doctypebranch: -0.2995 | Importance: -0.3550,Doctypebranch: -0.2853 | Importance: -0.3631,Doctypebranch: -0.3257 | Importance: -0.2643,Doctypebranch: -0.3471 | Importance: -0.4191,Doctypebranch: -0.1811 | Importance: -0.2811
eigenvector_centrality,Doctypebranch: -0.3491 | Importance: -0.4150,Doctypebranch: -0.3568 | Importance: -0.3047,Doctypebranch: -0.3664 | Importance: -0.3258,Doctypebranch: -0.3583 | Importance: -0.3004,Doctypebranch: -0.2742 | Importance: -0.3038,Doctypebranch: -0.2820 | Importance: -0.3684,Doctypebranch: -0.2102 | Importance: -0.2491,Doctypebranch: -0.2977 | Importance: -0.3468,Doctypebranch: -0.2302 | Importance: -0.2270,Doctypebranch: -0.0842 | Importance: -0.0219,Doctypebranch: -0.3002 | Importance: -0.3308,Doctypebranch: -0.3421 | Importance: -0.3800,Doctypebranch: -0.2103 | Importance: -0.2331,Doctypebranch: -0.1522 | Importance: -0.1963,Doctypebranch: -0.1522 | Importance: -0.1963,Doctypebranch: -0.3167 | Importance: -0.3691,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.4371 | Importance: -0.2487,Doctypebranch: -0.3766 | Importance: -0.3087,Doctypebranch: -0.3979 | Importance: -0.2994,Doctypebranch: -0.3934 | Importance: -0.3113,Doctypebranch: -0.3915 | Importance: -0.3038,Doctypebranch: -0.2189 | Importance: -0.2122,Doctypebranch: -0.1278 | Importance: -0.1811,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0130 | Importance: -0.1894,Doctypebranch: -0.3172 | Importance: -0.3543,Doctypebranch: -0.1748 | Importance: -0.2383,Doctypebranch: -0.3084 | Importance: -0.3467,Doctypebranch: -0.4074 | Importance: -0.3465,Doctypebranch: -0.4423 | Importance: -0.3943,Doctypebranch: -0.3484 | Importance: -0.3324,Doctypebranch: -0.3456 | Importance: -0.3127,Doctypebranch: -0.2880 | Importance: -0.2591,Doctypebranch: -0.3273 | Importance: -0.3252,Doctypebranch: -0.2759 | Importance: -0.3808,Doctypebranch: -0.1694 | Importance: -0.1088,Doctypebranch: -0.3417 | Importance: -0.3051,Doctypebranch: -0.3163 | Importance: -0.3111,Doctypebranch: -0.2580 | Importance: -0.2721,Doctypebranch: -0.3377 | Importance: -0.4062,Doctypebranch: -0.3315 | Importance: -0.3863,Doctypebranch: -0.2284 | Importance: -0.2274,Doctypebranch: -0.2493 | Importance: -0.3113,Doctypebranch: -0.3179 | Importance: -0.2262,Doctypebranch: -0.2302 | Importance: -0.3593,Doctypebranch: -0.1759 | Importance: -0.2727,Doctypebranch: -0.2961 | Importance: -0.2607,Doctypebranch: -0.2191 | Importance: -0.2185,Doctypebranch: -0.2854 | Importance: -0.2927,Doctypebranch: -0.2872 | Importance: -0.3059,Doctypebranch: -0.2070 | Importance: -0.1990,Doctypebranch: -0.2888 | Importance: -0.2700,Doctypebranch: -0.3588 | Importance: -0.1283,Doctypebranch: -0.5621 | Importance: -0.2353,Doctypebranch: -0.3169 | Importance: -0.3825,Doctypebranch: -0.3061 | Importance: -0.3653,Doctypebranch: -0.3176 | Importance: -0.2906,Doctypebranch: -0.3694 | Importance: -0.4146,Doctypebranch: -0.2015 | Importance: -0.2914
harmonic_centrality,Doctypebranch: -0.3619 | Importance: -0.4186,Doctypebranch: -0.3681 | Importance: -0.3136,Doctypebranch: -0.3796 | Importance: -0.3366,Doctypebranch: -0.3753 | Importance: -0.3121,Doctypebranch: -0.2768 | Importance: -0.3038,Doctypebranch: -0.2843 | Importance: -0.3684,Doctypebranch: -0.2189 | Importance: -0.2491,Doctypebranch: -0.2997 | Importance: -0.3486,Doctypebranch: -0.2383 | Importance: -0.2290,Doctypebranch: -0.0842 | Importance: -0.0219,Doctypebranch: -0.3178 | Importance: -0.3351,Doctypebranch: -0.3433 | Importance: -0.3868,Doctypebranch: -0.2232 | Importance: -0.2421,Doctypebranch: -0.1522 | Importance: -0.1958,Doctypebranch: -0.1522 | Importance: -0.1958,Doctypebranch: -0.3258 | Importance: -0.3732,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.4441 | Importance: -0.2491,Doctypebranch: -0.3901 | Importance: -0.3134,Doctypebranch: -0.4097 | Importance: -0.3011,Doctypebranch: -0.3983 | Importance: -0.3125,Doctypebranch: -0.3931 | Importance: -0.3040,Doctypebranch: -0.2189 | Importance: -0.2122,Doctypebranch: -0.1278 | Importance: -0.1811,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0130 | Importance: -0.1894,Doctypebranch: -0.3386 | Importance: -0.3575,Doctypebranch: -0.1841 | Importance: -0.2477,Doctypebranch: -0.3326 | Importance: -0.3507,Doctypebranch: -0.4226 | Importance: -0.3456,Doctypebranch: -0.4557 | Importance: -0.3937,Doctypebranch: -0.3605 | Importance: -0.3370,Doctypebranch: -0.3580 | Importance: -0.3167,Doctypebranch: -0.2880 | Importance: -0.2591,Doctypebranch: -0.3578 | Importance: -0.3407,Doctypebranch: -0.2735 | Importance: -0.3808,Doctypebranch: -0.1694 | Importance: -0.1088,Doctypebranch: -0.3466 | Importance: -0.3076,Doctypebranch: -0.3210 | Importance: -0.3130,Doctypebranch: -0.2580 | Importance: -0.2728,Doctypebranch: -0.3460 | Importance: -0.4101,Doctypebranch: -0.3387 | Importance: -0.3907,Doctypebranch: -0.2515 | Importance: -0.2265,Doctypebranch: -0.2512 | Importance: -0.3133,Doctypebranch: -0.3179 | Importance: -0.2262,Doctypebranch: -0.2306 | Importance: -0.3593,Doctypebranch: -0.1748 | Importance: -0.2788,Doctypebranch: -0.2963 | Importance: -0.2607,Doctypebranch: -0.2192 | Importance: -0.2185,Doctypebranch: -0.2915 | Importance: -0.2954,Doctypebranch: -0.2941 | Importance: -0.3092,Doctypebranch: -0.2151 | Importance: -0.2001,Doctypebranch: -0.2895 | Importance: -0.2697,Doctypebranch: -0.3664 | Importance: -0.1335,Doctypebranch: -0.5583 | Importance: -0.2353,Doctypebranch: -0.3230 | Importance: -0.3822,Doctypebranch: -0.3110 | Importance: -0.3650,Doctypebranch: -0.3189 | Importance: -0.2906,Doctypebranch: -0.3694 | Importance: -0.4146,Doctypebranch: -0.2150 | Importance: -0.3044
hits_authority,Doctypebranch: -0.2893 | Importance: -0.3117,Doctypebranch: -0.2751 | Importance: -0.2385,Doctypebranch: -0.3463 | Importance: -0.3253,Doctypebranch: -0.3429 | Importance: -0.2915,Doctypebranch: -0.2061 | Importance: -0.2738,Doctypebranch: -0.2119 | Importance: -0.2702,Doctypebranch: -0.0902 | Importance: -0.1158,Doctypebranch: -0.1759 | Importance: -0.2055,Doctypebranch: -0.2025 | Importance: -0.1984,Doctypebranch: -0.0598 | Importance: -0.0523,Doctypebranch: -0.2439 | Importance: -0.2542,Doctypebranch: -0.2290 | Importance: -0.2154,Doctypebranch: -0.1570 | Importance: -0.0787,Doctypebranch: -0.0629 | Importance: -0.0031,Doctypebranch: 0.0876 | Importance: -0.0376,Doctypebranch: -0.2501 | Importance: -0.2796,Doctypebranch: 0.2440 | Importance: 0.0669,Doctypebranch: -0.2928 | Importance: -0.1170,Doctypebranch: -0.2820 | Importance: -0.2146,Doctypebranch: -0.2994 | Importance: -0.1964,Doctypebranch: -0.2543 | Importance: -0.2150,Doctypebranch: -0.0305 | Importance: -0.0888,Doctypebranch: -0.0926 | Importance: 0.0735,Doctypebranch: 0.0802 | Importance: -0.1199,Doctypebranch: -0.0700 | Importance: -0.1327,Doctypebranch: -0.0454 | Importance: -0.0727,Doctypebranch: nan | Importance: 0.0066,Doctypebranch: 0.0549 | Importance: -0.1072,Doctypebranch: -0.2639 | Importance: -0.2750,Doctypebranch: -0.2198 | Importance: -0.2573,Doctypebranch: -0.2746 | Importance: -0.2629,Doctypebranch: -0.3729 | Importance: -0.2049,Doctypebranch: -0.3770 | Importance: -0.2909,Doctypebranch: -0.2671 | Importance: -0.2230,Doctypebranch: -0.2649 | Importance: -0.2163,Doctypebranch: -0.2536 | Importance: -0.2548,Doctypebranch: -0.2513 | Importance: -0.2361,Doctypebranch: -0.2428 | Importance: -0.3282,Doctypebranch: -0.0742 | Importance: 0.0106,Doctypebranch: -0.2177 | Importance: -0.2294,Doctypebranch: -0.1830 | Importance: -0.1906,Doctypebranch: -0.0709 | Importance: -0.1780,Doctypebranch: -0.2506 | Importance: -0.2736,Doctypebranch: -0.2419 | Importance: -0.2456,Doctypebranch: -0.2491 | Importance: -0.2139,Doctypebranch: -0.0614 | Importance: -0.1230,Doctypebranch: -0.1128 | Importance: -0.0701,Doctypebranch: -0.0708 | Importance: -0.1198,Doctypebranch: -0.2036 | Importance: -0.1962,Doctypebranch: -0.0941 | Importance: -0.0545,Doctypebranch: -0.0030 | Importance: 0.0920,Doctypebranch: -0.2240 | Importance: -0.2067,Doctypebranch: -0.2051 | Importance: -0.1996,Doctypebranch: -0.1489 | Importance: -0.1194,Doctypebranch: -0.1755 | Importance: -0.0933,Doctypebranch: -0.3090 | Importance: -0.1812,Doctypebranch: -0.4416 | Importance: -0.1624,Doctypebranch: -0.2305 | Importance: -0.2033,Doctypebranch: -0.2073 | Importance: -0.2319,Doctypebranch: -0.1246 | Importance: -0.0474,Doctypebranch: -0.3247 | Importance: -0.3533,Doctypebranch: -0.2469 | Importance: -0.2047
