centrality,times_best_high,times_best_low,times_best_overall
betweenness_centrality,1,0,1
eigenvector_centrality,0,1,0
pagerank,9,2,9
closeness_centrality,0,7,0
hits_authority,4,0,4
core_number,1,2,1
degree_centrality,5,3,5
relative_in_degree_centrality,0,25,0
harmonic_centrality,2,2,2
disruption,11,1,11
in_degree_centrality,29,19,29
