centrality,times_best_high,times_best_low,times_best_overall
eigenvector_centrality,3,4,3
pagerank,9,9,9
closeness_centrality,1,10,1
hits_authority,1,1,1
out_degree_centrality,4,2,4
degree_centrality,6,1,6
core_number,1,2,1
relative_in_degree_centrality,0,9,0
hits_hub,0,3,0
harmonic_centrality,1,2,1
disruption,26,1,26
in_degree_centrality,10,18,10
