centrality,times_best_high,times_best_low,times_best_overall
eigenvector_centrality,3,4,3
pagerank,6,6,6
closeness_centrality,1,7,1
out_degree_centrality,1,1,1
core_number,1,1,1
degree_centrality,1,1,1
relative_in_degree_centrality,0,7,0
hits_hub,0,1,0
harmonic_centrality,1,2,1
disruption,20,1,20
in_degree_centrality,7,10,7
