ecli,references
ECLI:CE:ECHR:2000:1019JUD003110796,['ECLI:CE:ECHR:1999:0325JUD003110796']
ECLI:CE:ECHR:2001:0123JUD002834295,['ECLI:CE:ECHR:1999:1028JUD002834295']
ECLI:CE:ECHR:2001:0213JUD003977998,"['ECLI:CE:ECHR:2000:0801JUD003878197', 'ECLI:CE:ECHR:1999:0929JUD003868797', 'ECLI:CE:ECHR:1999:1109JUD003778697']"
ECLI:CE:ECHR:2001:0213JUD003494797,"['ECLI:CE:ECHR:2000:0801JUD003878197', 'ECLI:CE:ECHR:2000:1026JUD003021096', 'ECLI:CE:ECHR:1999:1109JUD003778697']"
ECLI:CE:ECHR:2001:0213JUD004716099,['ECLI:CE:ECHR:1999:1130JUD003437497']
ECLI:CE:ECHR:2001:0227JUD003196396,['ECLI:CE:ECHR:2000:1205JUD003961598']
ECLI:CE:ECHR:2001:0227JUD003391996,['ECLI:CE:ECHR:1999:1208JUD002854195']
ECLI:CE:ECHR:2001:0227JUD003595697,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD003717097,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004588099,"['ECLI:CE:ECHR:1999:0728JUD003488497', 'ECLI:CE:ECHR:1999:0218JUD003315896']"
ECLI:CE:ECHR:2001:0227JUD004180498,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004180598,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004180698,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004439598,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004442298,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004443198,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004444798,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004444298,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004444398,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004651599,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004777499,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004439898,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004442098,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004442598,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004439798,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004438098,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004441798,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004181198,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004439498,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004440498,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004443598,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004441998,['ECLI:CE:ECHR:1999:0728JUD003488497']
