centrality,times_best_high,times_best_low,times_best_overall
core_number,1,3,1
in_degree_centrality,9,7,9
hits_hub,0,1,0
eigenvector_centrality,2,0,2
relative_in_degree_centrality,0,9,0
hits_authority,2,0,2
pagerank,4,0,4
degree_centrality,3,1,3
closeness_centrality,2,0,2
out_degree_centrality,1,0,1
harmonic_centrality,0,3,0
