centrality,times_best_high,times_best_low,times_best_overall
core_number,0,9,0
in_degree_centrality,6,5,6
eigenvector_centrality,1,1,1
relative_in_degree_centrality,0,6,0
hits_authority,1,0,1
degree_centrality,14,0,14
closeness_centrality,1,1,1
harmonic_centrality,1,2,1
