ecli,references
ECLI:CE:ECHR:2011:0830DEC003536505,"['ECLI:CE:ECHR:2010:0923JUD003478402', 'ECLI:CE:ECHR:2010:1021JUD003811204']"
ECLI:CE:ECHR:2011:0915JUD001708007,[]
ECLI:CE:ECHR:2011:0920JUD000327104,['ECLI:CE:ECHR:2011:0920JUD000327104']
ECLI:CE:ECHR:2011:0920JUD001785404,[]
ECLI:CE:ECHR:2011:0927DEC002775306,['ECLI:CE:ECHR:2011:0106JUD003493204']
ECLI:CE:ECHR:2011:0927JUD002327207,[]
ECLI:CE:ECHR:2011:0927JUD003156407,[]
ECLI:CE:ECHR:2011:1004DEC005760209,[]
ECLI:CE:ECHR:2011:1011DEC002921805,['ECLI:CE:ECHR:2010:1021JUD003811204']
ECLI:CE:ECHR:2011:1011JUD003095110,[]
ECLI:CE:ECHR:2011:1013JUD003680106,[]
ECLI:CE:ECHR:2011:1013JUD004154806,[]
ECLI:CE:ECHR:2011:1018JUD002608806,[]
ECLI:CE:ECHR:2011:1025JUD001609608,[]
ECLI:CE:ECHR:2011:1027JUD000885708,['ECLI:CE:ECHR:2009:1201JUD000867305']
ECLI:CE:ECHR:2011:1103JUD000519309,[]
ECLI:CE:ECHR:2011:1103JUD003201007,['ECLI:CE:ECHR:2011:0120JUD001960608']
ECLI:CE:ECHR:2011:1103JUD003420708,['ECLI:CE:ECHR:2011:1103JUD003420708']
ECLI:CE:ECHR:2011:1103JUD005781300,['ECLI:CE:ECHR:2011:1103JUD005781300']
ECLI:CE:ECHR:2011:1108DEC004920106,[]
ECLI:CE:ECHR:2011:1108JUD000306407,[]
ECLI:CE:ECHR:2011:1108JUD004609206,"['ECLI:CE:ECHR:2010:1028JUD002015705', 'ECLI:CE:ECHR:2012:1023JUD001432508']"
ECLI:CE:ECHR:2011:1110JUD004833709,"['ECLI:CE:ECHR:2011:0405JUD000868708', 'ECLI:CE:ECHR:2011:0120JUD001960608']"
ECLI:CE:ECHR:2011:1115JUD002368705,[]
ECLI:CE:ECHR:2011:1115JUD004820509,['ECLI:CE:ECHR:2011:0121JUD003069609']
ECLI:CE:ECHR:2011:1122JUD000224310,[]
ECLI:CE:ECHR:2011:1124JUD004803806,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2012:1106JUD003223804']"
ECLI:CE:ECHR:2011:1129JUD005090306,[]
ECLI:CE:ECHR:2011:1213DEC003826308,[]
ECLI:CE:ECHR:2011:1213JUD001529709,"['ECLI:CE:ECHR:2008:0124JUD002978703', 'ECLI:CE:ECHR:2011:0405JUD000868708']"
ECLI:CE:ECHR:2011:1213JUD002745806,['ECLI:CE:ECHR:2010:1005JUD004746007']
ECLI:CE:ECHR:2011:1213JUD004635609,[]
ECLI:CE:ECHR:2011:1214DEC001321605,"['ECLI:CE:ECHR:2011:0920JUD001490204', 'ECLI:CE:ECHR:2011:0121JUD003069609']"
ECLI:CE:ECHR:2011:1214DEC004016706,['ECLI:CE:ECHR:2011:0121JUD003069609']
ECLI:CE:ECHR:2011:1215JUD000520309,['ECLI:CE:ECHR:2010:1028JUD000216102']
ECLI:CE:ECHR:2011:1220JUD005552808,[]
ECLI:CE:ECHR:2012:0110JUD001549209,['ECLI:CE:ECHR:2010:1216JUD001424805']
ECLI:CE:ECHR:2012:0110JUD003076508,[]
ECLI:CE:ECHR:2012:0110JUD003781903,[]
ECLI:CE:ECHR:2012:0110JUD003782103,[]
ECLI:CE:ECHR:2012:0110JUD004239007,[]
ECLI:CE:ECHR:2012:0110JUD004252507,"['ECLI:CE:ECHR:2010:1125JUD003025103', 'ECLI:CE:ECHR:2010:1216JUD003309908', 'ECLI:CE:ECHR:2011:0510JUD003734605', 'ECLI:CE:ECHR:2010:1216JUD001424805']"
ECLI:CE:ECHR:2012:0110JUD004897709,['ECLI:CE:ECHR:2011:0621JUD004336804']
ECLI:CE:ECHR:2012:0112JUD000329905,[]
ECLI:CE:ECHR:2012:0112JUD001671705,"['ECLI:CE:ECHR:2012:0703JUD000649211', 'ECLI:CE:ECHR:2010:1014JUD001344807']"
ECLI:CE:ECHR:2012:0112JUD002273704,[]
ECLI:CE:ECHR:2012:0112JUD003614605,['ECLI:CE:ECHR:2011:0426JUD002509107']
ECLI:CE:ECHR:2012:0112JUD003665003,[]
ECLI:CE:ECHR:2012:0112JUD003990805,"['ECLI:CE:ECHR:2010:1014JUD001647403', 'ECLI:CE:ECHR:2010:1216JUD001424805']"
ECLI:CE:ECHR:2012:0112JUD004438502,[]
ECLI:CE:ECHR:2012:0117JUD000526007,['ECLI:CE:ECHR:2013:0129JUD006661009']
ECLI:CE:ECHR:2012:0117JUD000561208,[]
ECLI:CE:ECHR:2012:0117JUD000904607,['ECLI:CE:ECHR:2011:0329JUD003124205']
ECLI:CE:ECHR:2012:0117JUD000914607,['ECLI:CE:ECHR:2012:0410JUD002402707']
ECLI:CE:ECHR:2012:0117JUD001229407,['ECLI:CE:ECHR:2010:1216JUD001152807']
ECLI:CE:ECHR:2012:0117JUD002458006,[]
ECLI:CE:ECHR:2012:0117JUD002974709,[]
ECLI:CE:ECHR:2012:0117JUD003676006,[]
ECLI:CE:ECHR:2012:0117JUD004371007,"['ECLI:CE:ECHR:2010:1216JUD003309908', 'ECLI:CE:ECHR:2010:1125JUD003025103', 'ECLI:CE:ECHR:2010:1216JUD001424805']"
ECLI:CE:ECHR:2012:0119JUD001177805,[]
ECLI:CE:ECHR:2012:0119JUD003947207,['ECLI:CE:ECHR:2011:0405JUD000868708']
ECLI:CE:ECHR:2012:0119JUD003988405,[]
ECLI:CE:ECHR:2012:0124JUD000105106,[]
ECLI:CE:ECHR:2012:0124JUD002292604,[]
ECLI:CE:ECHR:2012:0124JUD004966907,['ECLI:CE:ECHR:2010:1125JUD007572601']
ECLI:CE:ECHR:2012:0124JUD005754109,['ECLI:CE:ECHR:2011:0329JUD003124205']
ECLI:CE:ECHR:2012:0124JUD006148508,['ECLI:CE:ECHR:2010:0914JUD000699108']
ECLI:CE:ECHR:2012:0131JUD002499605,['ECLI:CE:ECHR:2010:1102JUD002127203']
ECLI:CE:ECHR:2012:0131JUD002665604,['ECLI:CE:ECHR:2012:0131JUD002665604']
ECLI:CE:ECHR:2012:0131JUD005001208,"['ECLI:CE:ECHR:2008:0124JUD002978703', 'ECLI:CE:ECHR:2011:0607JUD000223708']"
