centrality,times_best_high,times_best_low,times_best_overall
hits_hub,1,0,1
degree_centrality,8,0,8
core_number,0,6,0
harmonic_centrality,2,2,2
relative_in_degree_centrality,1,1,1
pagerank,5,2,5
closeness_centrality,1,2,1
in_degree_centrality,3,8,3
eigenvector_centrality,1,1,1
