ecli,references
ECLI:CE:ECHR:2010:1021JUD000491607,['ECLI:CE:ECHR:2011:1201JUD000808008']
ECLI:CE:ECHR:2010:1021JUD001744404,['']
ECLI:CE:ECHR:2010:1021JUD002540409,"['ECLI:CE:ECHR:2012:0117JUD002336906', '', 'ECLI:CE:ECHR:2010:0727JUD005021308', 'ECLI:CE:ECHR:2010:1104JUD004250206']"
ECLI:CE:ECHR:2010:1021JUD003155505,"['ECLI:CE:ECHR:2011:0614JUD001690303', 'ECLI:CE:ECHR:2010:1007JUD004900006']"
ECLI:CE:ECHR:2010:1021JUD003811204,['']
ECLI:CE:ECHR:2010:1021JUD004337402,"['ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2012:0724JUD001480708', 'ECLI:CE:ECHR:2012:0112JUD004292109']"
ECLI:CE:ECHR:2010:1028JUD000216102,"['', 'ECLI:CE:ECHR:2012:0117JUD002336906', 'ECLI:CE:ECHR:2013:0725JUD001108206', 'ECLI:CE:ECHR:2012:0112JUD004292109']"
ECLI:CE:ECHR:2010:1028JUD002015705,['ECLI:CE:ECHR:2011:1220JUD001219206']
ECLI:CE:ECHR:2010:1028JUD002231304,"['', 'ECLI:CE:ECHR:2012:0405JUD003764510', 'ECLI:CE:ECHR:2012:0703JUD000649211', 'ECLI:CE:ECHR:2010:1014JUD002427103']"
ECLI:CE:ECHR:2010:1028JUD002328404,"['ECLI:CE:ECHR:2012:1002JUD000512605', 'ECLI:CE:ECHR:2012:0117JUD003820207', 'ECLI:CE:ECHR:2011:0127JUD004183304', 'ECLI:CE:ECHR:2010:1019JUD001987503']"
ECLI:CE:ECHR:2010:1102JUD000188303,['ECLI:CE:ECHR:2012:0117JUD000914607']
ECLI:CE:ECHR:2010:1102JUD000397605,"['ECLI:CE:ECHR:2012:0522JUD000012605', 'ECLI:CE:ECHR:2012:0717JUD006505009', 'ECLI:CE:ECHR:2011:0118JUD000012605']"
ECLI:CE:ECHR:2010:1102JUD001456505,"['', 'ECLI:CE:ECHR:2012:0605JUD005172899']"
ECLI:CE:ECHR:2010:1102JUD002127203,"['ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2012:0424JUD000141305']"
ECLI:CE:ECHR:2010:1102JUD003721703,"['', 'ECLI:CE:ECHR:2010:1102JUD003721703', 'ECLI:CE:ECHR:2011:0927JUD002568809']"
ECLI:CE:ECHR:2010:1102JUD004172306,"['', 'ECLI:CE:ECHR:2013:0328JUD000296412']"
ECLI:CE:ECHR:2010:1104JUD001448008,"['ECLI:CE:ECHR:2012:0522JUD000012605', 'ECLI:CE:ECHR:2012:0717JUD006505009', 'ECLI:CE:ECHR:2011:0118JUD000012605']"
ECLI:CE:ECHR:2010:1104JUD001530309,['ECLI:CE:ECHR:2010:1104JUD004250206']
ECLI:CE:ECHR:2010:1109JUD002030702,['ECLI:CE:ECHR:2010:1014JUD002427103']
ECLI:CE:ECHR:2010:1109JUD002274603,"['', 'ECLI:CE:ECHR:2012:0117JUD000914607', 'ECLI:CE:ECHR:2010:1012JUD003866807']"
ECLI:CE:ECHR:2010:1109JUD002573205,"['', 'ECLI:CE:ECHR:2012:1009JUD003446508', 'ECLI:CE:ECHR:2012:0531JUD003444508']"
ECLI:CE:ECHR:2010:1109JUD004298004,"['ECLI:CE:ECHR:2012:1009JUD003446508', 'ECLI:CE:ECHR:2012:0531JUD003444508']"
ECLI:CE:ECHR:2010:1109JUD004406506,['']
ECLI:CE:ECHR:2010:1116JUD000092605,"['', 'ECLI:CE:ECHR:2012:0117JUD000914607', 'ECLI:CE:ECHR:2010:1019JUD001987503']"
ECLI:CE:ECHR:2010:1118JUD000031004,"['ECLI:CE:ECHR:2013:0625JUD000697808', 'ECLI:CE:ECHR:2013:0108JUD003054406']"
ECLI:CE:ECHR:2010:1118JUD001899007,['ECLI:CE:ECHR:2010:1202JUD001495109']
ECLI:CE:ECHR:2010:1123DEC001297709,['ECLI:CE:ECHR:2010:0902JUD004634406']
ECLI:CE:ECHR:2010:1125JUD002042907,['']
ECLI:CE:ECHR:2010:1125JUD003025103,"['', 'ECLI:CE:ECHR:2012:0117JUD000914607', 'ECLI:CE:ECHR:2010:1216JUD000453204', 'ECLI:CE:ECHR:2011:0510JUD002032604', 'ECLI:CE:ECHR:2010:1104JUD004250206']"
ECLI:CE:ECHR:2010:1125JUD004344902,"['ECLI:CE:ECHR:2012:0228JUD001896703', 'ECLI:CE:ECHR:2010:1014JUD002427103']"
ECLI:CE:ECHR:2010:1125JUD007572601,['ECLI:CE:ECHR:2010:1012JUD002575907']
ECLI:CE:ECHR:2010:1130JUD000322403,['ECLI:CE:ECHR:2011:0208JUD002487404']
ECLI:CE:ECHR:2010:1130JUD004315505,['ECLI:CE:ECHR:2009:1201JUD000867305']
ECLI:CE:ECHR:2010:1202JUD000469106,['']
ECLI:CE:ECHR:2010:1202JUD000672205,['ECLI:CE:ECHR:2013:1010JUD004003208']
ECLI:CE:ECHR:2010:1202JUD001285303,['ECLI:CE:ECHR:2010:1125JUD004344902']
ECLI:CE:ECHR:2010:1202JUD001557803,['']
ECLI:CE:ECHR:2010:1202JUD002706505,"['', 'ECLI:CE:ECHR:2010:1012JUD002050205']"
ECLI:CE:ECHR:2010:1202JUD003085603,['ECLI:CE:ECHR:2011:0208JUD002487404']
ECLI:CE:ECHR:2010:1207JUD001596606,"['', 'ECLI:CE:ECHR:2012:1120JUD005868811']"
ECLI:CE:ECHR:2010:1207JUD002748002,"['ECLI:CE:ECHR:2013:1015JUD002227904', 'ECLI:CE:ECHR:2010:0727JUD003801607']"
ECLI:CE:ECHR:2010:1207JUD002870806,['ECLI:CE:ECHR:2009:1201JUD000867305']
ECLI:CE:ECHR:2010:1207JUD005033007,"['ECLI:CE:ECHR:2011:0531JUD003534806', 'ECLI:CE:ECHR:2011:1220JUD004883909', 'ECLI:CE:ECHR:2013:0129JUD006036710', 'ECLI:CE:ECHR:2013:1022JUD001157706']"
ECLI:CE:ECHR:2010:1207JUD005176207,['ECLI:CE:ECHR:2011:1018JUD003496004']
ECLI:CE:ECHR:2010:1209JUD000779808,"['ECLI:CE:ECHR:2011:1220JUD000622210', 'ECLI:CE:ECHR:2011:1220JUD005299908', 'ECLI:CE:ECHR:2013:1010JUD002568910']"
ECLI:CE:ECHR:2010:1209JUD001632705,['ECLI:CE:ECHR:2011:1011JUD000505610']
ECLI:CE:ECHR:2010:1214JUD002800303,"['', 'ECLI:CE:ECHR:2013:0604JUD000904906']"
ECLI:CE:ECHR:2010:1214JUD004461407,['']
ECLI:CE:ECHR:2010:1214JUD007483201,['']
ECLI:CE:ECHR:2010:1216JUD001424805,"['', 'ECLI:CE:ECHR:2011:1122JUD002316409', 'ECLI:CE:ECHR:2013:0716JUD000154407', 'ECLI:CE:ECHR:2011:1220JUD000708907', 'ECLI:CE:ECHR:2012:0724JUD001480708', 'ECLI:CE:ECHR:2011:0301JUD002733504']"
ECLI:CE:ECHR:2010:1216JUD002557905,['ECLI:CE:ECHR:2011:1103JUD005781300']
ECLI:CE:ECHR:2010:1216JUD003309908,"['ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2012:0724JUD001480708']"
ECLI:CE:ECHR:2010:1221JUD000324203,"['ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2010:0930JUD004491708', 'ECLI:CE:ECHR:2011:0510JUD002032604', 'ECLI:CE:ECHR:2010:0902JUD007142001', 'ECLI:CE:ECHR:2012:0724JUD001480708']"
ECLI:CE:ECHR:2010:1221JUD001568405,['ECLI:CE:ECHR:2010:1028JUD002328404']
ECLI:CE:ECHR:2010:1221JUD002057807,['ECLI:CE:ECHR:2011:0712JUD003649805']
ECLI:CE:ECHR:2010:1221JUD002757003,['ECLI:CE:ECHR:2011:0208JUD002795208']
ECLI:CE:ECHR:2010:1221JUD003181403,['']
ECLI:CE:ECHR:2010:1221JUD003469005,['ECLI:CE:ECHR:2010:1102JUD003828108']
ECLI:CE:ECHR:2010:1221JUD003647903,['ECLI:CE:ECHR:2010:0914JUD003718603']
ECLI:CE:ECHR:2010:1221JUD004574408,"['', 'ECLI:CE:ECHR:2010:0729JUD000393304']"
ECLI:CE:ECHR:2010:1221JUD005097308,"['ECLI:CE:ECHR:2010:0722JUD001228608', 'ECLI:CE:ECHR:2013:0418JUD004582308', 'ECLI:CE:ECHR:2013:1024JUD004584709']"
ECLI:CE:ECHR:2011:0106JUD003493204,['ECLI:CE:ECHR:2012:1016JUD002112404']
ECLI:CE:ECHR:2011:0111JUD000668405,['ECLI:CE:ECHR:2012:0117JUD000914607']
ECLI:CE:ECHR:2011:0111JUD001567208,['']
ECLI:CE:ECHR:2011:0111JUD004675599,['ECLI:CE:ECHR:2011:0111JUD004675599']
ECLI:CE:ECHR:2011:0113JUD001091905,['ECLI:CE:ECHR:2011:0927JUD002568809']
ECLI:CE:ECHR:2011:0113JUD002736004,['ECLI:CE:ECHR:2012:0731JUD002120310']
ECLI:CE:ECHR:2011:0113JUD002892404,"['', 'ECLI:CE:ECHR:2012:0117JUD000914607']"
ECLI:CE:ECHR:2011:0113JUD003679403,['']
ECLI:CE:ECHR:2011:0118DEC003141107,"['ECLI:CE:ECHR:2012:0522JUD000012605', 'ECLI:CE:ECHR:2012:0717JUD006505009', 'ECLI:CE:ECHR:2011:0118JUD000012605']"
ECLI:CE:ECHR:2011:0118DEC003458610,['']
ECLI:CE:ECHR:2011:0118JUD000447903,"['', 'ECLI:CE:ECHR:2010:0921JUD003414706', 'ECLI:CE:ECHR:2012:1023JUD001432508']"
ECLI:CE:ECHR:2011:0118JUD003548206,['ECLI:CE:ECHR:2011:0118JUD003548206']
ECLI:CE:ECHR:2011:0118JUD003940104,"['ECLI:CE:ECHR:2012:0207JUD004066008', 'ECLI:CE:ECHR:2013:0919JUD000877210']"
ECLI:CE:ECHR:2011:0118JUD004548206,['ECLI:CE:ECHR:2011:0628JUD002572005']
ECLI:CE:ECHR:2011:0120JUD001481104,"['', 'ECLI:CE:ECHR:2011:1122JUD002316409', 'ECLI:CE:ECHR:2013:0716JUD000154407', 'ECLI:CE:ECHR:2011:1220JUD000708907', 'ECLI:CE:ECHR:2011:0301JUD002733504']"
ECLI:CE:ECHR:2011:0120JUD001621208,['']
ECLI:CE:ECHR:2011:0120JUD005124608,['ECLI:CE:ECHR:2012:0724JUD006493009']
ECLI:CE:ECHR:2011:0120JUD005213107,['']
ECLI:CE:ECHR:2011:0121JUD003069609,"['ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2010:0722JUD001218608', 'ECLI:CE:ECHR:2008:0124JUD002978703', '']"
ECLI:CE:ECHR:2011:0125JUD002776305,['']
ECLI:CE:ECHR:2011:0125JUD003334704,['ECLI:CE:ECHR:2011:0208JUD002487404']
ECLI:CE:ECHR:2011:0125JUD003842705,['ECLI:CE:ECHR:2010:0902JUD000941105']
ECLI:CE:ECHR:2011:0201JUD001950605,['ECLI:CE:ECHR:2011:0315JUD004313405']
ECLI:CE:ECHR:2011:0201JUD003476405,['ECLI:CE:ECHR:2013:1010JUD002568910']
ECLI:CE:ECHR:2011:0201JUD003636906,['']
ECLI:CE:ECHR:2011:0203JUD001068702,['']
ECLI:CE:ECHR:2011:0203JUD001813602,"['ECLI:CE:ECHR:2010:0923JUD000042503', 'ECLI:CE:ECHR:2010:0923JUD000162003']"
ECLI:CE:ECHR:2011:0208JUD001602102,['ECLI:CE:ECHR:2010:1026JUD004615999']
ECLI:CE:ECHR:2011:0208JUD003015703,"['ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2012:1002JUD000512605', 'ECLI:CE:ECHR:2010:1221JUD001568405', 'ECLI:CE:ECHR:2010:1019JUD001987503', 'ECLI:CE:ECHR:2010:1221JUD003537705']"
ECLI:CE:ECHR:2011:0208JUD003698807,['ECLI:CE:ECHR:2011:0927JUD002568809']
ECLI:CE:ECHR:2011:0210JUD000152106,['ECLI:CE:ECHR:2011:0922JUD002834809']
ECLI:CE:ECHR:2011:0210JUD001838205,['ECLI:CE:ECHR:2010:1014JUD002724004']
ECLI:CE:ECHR:2011:0210JUD003094304,['']
ECLI:CE:ECHR:2011:0210JUD003778905,"['ECLI:CE:ECHR:2012:0117JUD002336906', 'ECLI:CE:ECHR:2010:1028JUD000216102']"
ECLI:CE:ECHR:2011:0210JUD004010702,"['ECLI:CE:ECHR:2011:0315JUD001081005', 'ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2012:0117JUD002336906', 'ECLI:CE:ECHR:2012:0112JUD004292109', 'ECLI:CE:ECHR:2010:0916JUD002612703', 'ECLI:CE:ECHR:2010:1028JUD000216102']"
ECLI:CE:ECHR:2011:0210JUD004497304,['ECLI:CE:ECHR:2012:0124JUD005754109']
ECLI:CE:ECHR:2011:0215JUD000470404,"['', 'ECLI:CE:ECHR:2011:1122JUD002316409', 'ECLI:CE:ECHR:2013:0716JUD000154407', 'ECLI:CE:ECHR:2011:1220JUD000708907', 'ECLI:CE:ECHR:2011:0301JUD002733504']"
ECLI:CE:ECHR:2011:0217JUD000626808,['ECLI:CE:ECHR:2010:1007JUD003007806']
ECLI:CE:ECHR:2011:0217JUD001288403,"['ECLI:CE:ECHR:2013:0108JUD004407709', 'ECLI:CE:ECHR:2011:1103JUD003420708', 'ECLI:CE:ECHR:2012:0828JUD006987201', 'ECLI:CE:ECHR:2011:0922JUD002834809']"
ECLI:CE:ECHR:2011:0222JUD002432902,"['', 'ECLI:CE:ECHR:2013:0625JUD000697808', 'ECLI:CE:ECHR:2012:0719JUD003844709']"
ECLI:CE:ECHR:2011:0222JUD002603608,"['ECLI:CE:ECHR:2010:1116JUD000092605', 'ECLI:CE:ECHR:2012:0424JUD000141305']"
ECLI:CE:ECHR:2011:0224JUD003390804,"['ECLI:CE:ECHR:2011:0614JUD001690303', 'ECLI:CE:ECHR:2010:1007JUD004900006']"
ECLI:CE:ECHR:2011:0301JUD001592405,"['ECLI:CE:ECHR:2012:0117JUD000914607', 'ECLI:CE:ECHR:2011:1220JUD000622210', 'ECLI:CE:ECHR:2011:1220JUD005299908', 'ECLI:CE:ECHR:2010:1014JUD002427103']"
