Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
unbalanced-article_3+8,594,594,0,2,3,591,1,3,0.00000568,"2: 578, 1: 11, 3: 5","4: 501, 3: 53, 1: 22, 2: 18","2: 3, 4: 1","4: 500, 3: 53, 1: 22, 2: 15"
unbalanced-article_38,594,594,0,2,3,591,1,3,0.00000568,"2: 578, 1: 11, 3: 5","4: 501, 3: 53, 1: 22, 2: 18","2: 3, 4: 1","4: 500, 3: 53, 1: 22, 2: 15"
balanced-importance-article_5-3,550,550,0,193,138,412,5,128,0.00063918,"2: 426, 1: 88, 3: 36","3: 178, 1: 165, 2: 114, 4: 93","2: 39, 3: 6, 4: 2","3: 172, 1: 165, 4: 91, 2: 75"
balanced-doctypebranch-article_41,544,544,0,184,157,387,8,136,0.00062290,"1: 303, 2: 231, 3: 10","1: 243, 4: 115, 3: 109, 2: 77","2: 23, 3: 8, 1: 1","1: 242, 4: 115, 3: 101, 2: 54"
balanced-importance-article_9,536,536,0,114,99,437,10,66,0.00039754,"2: 492, 1: 43, 3: 1","2: 157, 4: 156, 3: 113, 1: 110","2: 23, 4: 1","4: 155, 2: 134, 3: 113, 1: 110"
unbalanced-article_35-3-a,489,489,0,133,104,385,5,90,0.00055734,"2: 454, 1: 34, 3: 1","3: 403, 1: 72, 2: 12, 4: 2",2: 1,"3: 403, 1: 72, 2: 11, 4: 2"
balanced-doctypebranch-article_5,485,485,0,63,61,424,4,53,0.00026838,"1: 223, 2: 135, 3: 127","1: 184, 4: 182, 3: 71, 2: 48","2: 10, 3: 3","1: 184, 4: 182, 3: 68, 2: 38"
unbalanced-article_38-1-b,481,481,0,0,0,481,0,0,0.00000000,2: 481,"4: 477, 3: 2, 2: 2",,"4: 477, 3: 2, 2: 2"
balanced-importance-article_P1-1-1,470,470,0,239,133,337,3,127,0.00108424,"2: 365, 1: 67, 3: 38","2: 126, 4: 116, 1: 116, 3: 112","2: 28, 3: 2, 4: 1","1: 116, 4: 115, 3: 110, 2: 98"
balanced-doctypebranch-article_2,469,469,0,89,84,385,6,56,0.00040548,"1: 260, 2: 168, 3: 41","1: 216, 4: 116, 3: 78, 2: 59","2: 25, 3: 5, 1: 1","1: 215, 4: 116, 3: 73, 2: 34"
unbalanced-article_5-5,461,461,0,120,78,383,3,71,0.00056588,"2: 262, 3: 191, 1: 8","4: 312, 3: 116, 1: 17, 2: 16","2: 11, 3: 3","4: 312, 3: 113, 1: 17, 2: 5"
unbalanced-article_6-3-d,444,444,0,145,94,350,2,92,0.00073719,"2: 346, 3: 90, 1: 8","4: 242, 3: 157, 2: 27, 1: 18","2: 17, 3: 11, 4: 2","4: 240, 3: 146, 1: 18, 2: 10"
balanced-importance-article_10,434,434,0,341,155,279,2,153,0.00181458,"2: 341, 1: 77, 3: 16","1: 162, 2: 125, 3: 109, 4: 38","2: 51, 3: 7, 1: 1","1: 161, 3: 102, 2: 74, 4: 38"
balanced-importance-article_14,431,431,0,116,92,339,3,85,0.00062591,"2: 347, 1: 82, 3: 2","1: 175, 2: 166, 3: 76, 4: 14","2: 74, 3: 6","1: 175, 2: 92, 3: 70, 4: 14"
balanced-importance-article_8-2,427,427,0,156,123,304,5,109,0.00085760,"2: 372, 1: 55","2: 141, 1: 141, 3: 139, 4: 6","2: 44, 3: 5","1: 141, 3: 134, 2: 97, 4: 6"
balanced-importance-article_34,404,404,0,152,120,284,6,104,0.00093359,"2: 327, 1: 72, 3: 5","1: 135, 2: 130, 3: 115, 4: 24","2: 41, 3: 4, 4: 1","1: 135, 3: 111, 2: 89, 4: 23"
balanced-importance-article_10-1,376,376,0,334,149,227,2,147,0.00236879,"2: 290, 1: 70, 3: 16","1: 137, 2: 109, 3: 97, 4: 33","2: 43, 3: 5, 1: 1","1: 136, 3: 92, 2: 66, 4: 33"
unbalanced-article_46,368,368,0,314,144,224,4,135,0.00232496,"2: 323, 1: 44, 3: 1","3: 219, 2: 72, 1: 62, 4: 15","2: 12, 4: 5","3: 219, 1: 62, 2: 60, 4: 10"
balanced-importance-article_29,357,357,0,31,41,316,13,8,0.00024392,"2: 349, 1: 8","4: 105, 2: 102, 3: 93, 1: 57",,"4: 105, 2: 102, 3: 93, 1: 57"
balanced-importance-article_29-3,357,357,0,31,41,316,13,8,0.00024392,"2: 349, 1: 8","4: 105, 2: 102, 3: 93, 1: 57",,"4: 105, 2: 102, 3: 93, 1: 57"
unbalanced-article_P1-1-2,340,340,0,146,101,239,6,90,0.00126670,"2: 305, 3: 20, 1: 15","3: 155, 4: 124, 2: 36, 1: 25","2: 10, 3: 3, 4: 1","3: 152, 4: 123, 2: 26, 1: 25"
unbalanced-article_5-1-c,335,335,0,131,74,261,3,67,0.00117079,"2: 272, 3: 54, 1: 9","4: 147, 3: 132, 2: 31, 1: 25","2: 13, 3: 7","4: 147, 3: 125, 1: 25, 2: 18"
balanced-importance-article_7,326,326,0,35,47,279,13,8,0.00033034,"2: 250, 1: 67, 3: 9","1: 112, 2: 84, 4: 74, 3: 56","2: 25, 3: 3, 4: 1","1: 112, 4: 73, 2: 59, 3: 53"
balanced-importance-article_10-2,317,317,0,307,136,181,1,136,0.00306473,"2: 249, 1: 66, 3: 2","1: 131, 2: 95, 3: 80, 4: 11","2: 31, 3: 4, 1: 1","1: 130, 3: 76, 2: 64, 4: 11"
balanced-importance-article_35-3,314,314,0,70,74,240,7,51,0.00071224,"2: 244, 1: 70","1: 126, 3: 118, 2: 57, 4: 13","2: 11, 3: 2, 4: 1","1: 126, 3: 116, 2: 46, 4: 12"
unbalanced-article_46-2,313,313,0,216,119,194,4,110,0.00221185,"2: 272, 1: 40, 3: 1","3: 191, 1: 55, 2: 53, 4: 14","2: 10, 4: 4","3: 191, 1: 55, 2: 43, 4: 10"
balanced-doctypebranch-article_5-1,311,311,0,46,48,263,5,37,0.00047713,"1: 160, 2: 82, 3: 69","1: 128, 4: 99, 3: 45, 2: 39","2: 7, 3: 2","1: 128, 4: 99, 3: 43, 2: 32"
balanced-importance-article_2-1,296,296,0,248,109,187,2,106,0.00284013,"2: 240, 1: 47, 3: 9","1: 108, 2: 90, 3: 76, 4: 22","2: 13, 3: 4","1: 108, 2: 77, 3: 72, 4: 22"
balanced-importance-article_6-2,277,277,0,126,93,184,4,87,0.00164809,"2: 210, 1: 66, 3: 1","2: 109, 1: 107, 3: 55, 4: 6","2: 39, 3: 1","1: 107, 2: 70, 3: 54, 4: 6"
balanced-doctypebranch-article_35,268,268,0,42,46,222,7,26,0.00058695,"1: 180, 2: 84, 3: 4","1: 148, 3: 60, 2: 39, 4: 21","2: 5, 3: 1","1: 148, 3: 59, 2: 34, 4: 21"
balanced-importance-article_6-3,264,264,0,99,76,188,3,71,0.00142586,"2: 223, 1: 28, 3: 13","3: 82, 2: 80, 1: 68, 4: 34","2: 44, 3: 7","3: 75, 1: 68, 2: 36, 4: 34"
balanced-doctypebranch-article_P1-1,262,262,0,40,32,230,3,25,0.00058495,"2: 101, 1: 84, 3: 77","4: 155, 1: 59, 2: 27, 3: 21","2: 5, 3: 1","4: 155, 1: 59, 2: 22, 3: 20"
balanced-importance-article_5-4,259,259,0,123,77,182,1,77,0.00184071,"2: 205, 3: 27, 1: 27","2: 74, 1: 64, 3: 63, 4: 58","2: 35, 3: 2","1: 64, 3: 61, 4: 58, 2: 39"
balanced-doctypebranch-article_8,254,254,0,13,16,238,3,9,0.00020230,"1: 133, 2: 76, 3: 45","1: 107, 4: 72, 3: 38, 2: 37","2: 13, 3: 1","1: 107, 4: 72, 3: 37, 2: 24"
unbalanced-article_7-2,238,238,0,9,10,228,3,6,0.00015956,"3: 183, 2: 51, 1: 4","4: 195, 3: 29, 1: 10, 2: 4","2: 3, 3: 1","4: 195, 3: 28, 1: 10, 2: 1"
unbalanced-article_6-3-b,232,232,0,125,82,150,3,76,0.00233244,"2: 211, 3: 17, 1: 4","4: 114, 3: 78, 2: 22, 1: 18","2: 15, 3: 8, 4: 1","4: 113, 3: 70, 1: 18, 2: 7"
unbalanced-article_P7-2,230,230,0,9,10,220,3,6,0.00017088,"3: 183, 2: 46, 1: 1","4: 195, 3: 27, 1: 7, 2: 1",,"4: 195, 3: 27, 1: 7, 2: 1"
balanced-importance-article_7-1,229,229,0,17,23,206,7,7,0.00032560,"2: 177, 1: 51, 3: 1","1: 73, 4: 60, 2: 57, 3: 39","2: 8, 4: 1","1: 73, 4: 59, 2: 49, 3: 39"
balanced-doctypebranch-article_13,229,229,0,18,18,211,3,9,0.00034475,"3: 105, 1: 69, 2: 55","4: 144, 1: 59, 2: 17, 3: 9",2: 10,"4: 144, 1: 59, 3: 9, 2: 7"
unbalanced-article_11-2,225,225,0,220,106,119,1,106,0.00436508,"2: 208, 1: 15, 3: 2","3: 150, 1: 43, 2: 25, 4: 7","2: 6, 3: 1","3: 149, 1: 43, 2: 19, 4: 7"
balanced-doctypebranch-article_8-1,224,224,0,13,16,208,3,9,0.00026025,"1: 114, 2: 65, 3: 45","1: 92, 4: 65, 3: 35, 2: 32",2: 11,"1: 92, 4: 65, 3: 35, 2: 21"
unbalanced-article_5-1-f,222,222,0,159,88,134,2,86,0.00324080,"2: 191, 3: 23, 1: 8","3: 116, 4: 81, 1: 16, 2: 9","3: 3, 2: 2","3: 113, 4: 81, 1: 16, 2: 7"
unbalanced-article_9-1,217,217,0,197,88,129,3,83,0.00420294,"2: 179, 3: 21, 1: 17","3: 88, 4: 62, 1: 34, 2: 33","2: 13, 4: 1, 3: 1","3: 87, 4: 61, 1: 34, 2: 20"
balanced-doctypebranch-article_P1-1-1,203,203,0,34,28,175,3,21,0.00082915,"3: 76, 1: 67, 2: 60","4: 112, 1: 48, 2: 24, 3: 19",2: 3,"4: 112, 1: 48, 2: 21, 3: 19"
balanced-doctypebranch-article_5-3,201,201,0,17,20,181,4,6,0.00042289,"1: 90, 3: 65, 2: 46","4: 86, 1: 81, 3: 23, 2: 11","2: 3, 3: 1","4: 86, 1: 81, 3: 22, 2: 8"
unbalanced-article_P1-3,186,186,0,146,54,132,2,52,0.00424295,"2: 127, 3: 44, 1: 15","4: 72, 3: 64, 1: 29, 2: 21",2: 5,"4: 72, 3: 64, 1: 29, 2: 16"
unbalanced-article_2-2,186,186,0,195,77,109,4,64,0.00566696,"2: 162, 3: 15, 1: 9","3: 92, 4: 56, 2: 21, 1: 17","2: 4, 3: 1","3: 91, 4: 56, 1: 17, 2: 17"
balanced-doctypebranch-article_35-1,183,183,0,26,29,154,5,17,0.00078064,"1: 128, 2: 54, 3: 1","1: 101, 3: 34, 2: 32, 4: 16","2: 3, 3: 1","1: 101, 3: 33, 2: 29, 4: 16"
unbalanced-article_4-2,180,180,0,115,61,119,4,53,0.00356921,"2: 132, 3: 40, 1: 8","4: 86, 3: 47, 1: 32, 2: 15","2: 9, 3: 1","4: 86, 3: 46, 1: 32, 2: 6"
unbalanced-article_37-1-c,169,169,0,4,8,161,4,2,0.00014088,"2: 142, 1: 15, 3: 12","4: 87, 3: 52, 1: 17, 2: 13",4: 1,"4: 86, 3: 52, 1: 17, 2: 13"
balanced-importance-article_46,166,166,0,99,64,102,2,62,0.00361446,"2: 122, 1: 44","2: 71, 1: 62, 3: 33",2: 12,"1: 62, 2: 59, 3: 33"
balanced-importance-article_37,161,161,0,8,13,148,5,4,0.00031056,"2: 129, 1: 31, 3: 1","4: 59, 1: 41, 2: 38, 3: 23",4: 1,"4: 58, 1: 41, 2: 38, 3: 23"
unbalanced-article_P4-2,159,159,0,113,58,101,3,53,0.00449805,"2: 112, 3: 40, 1: 7","4: 84, 3: 40, 1: 26, 2: 9","2: 5, 3: 1","4: 84, 3: 39, 1: 26, 2: 4"
balanced-importance-article_37-1,158,158,0,5,9,149,4,3,0.00020156,"2: 126, 1: 31, 3: 1","4: 59, 1: 40, 2: 37, 3: 22",4: 1,"4: 58, 1: 40, 2: 37, 3: 22"
balanced-importance-article_35-3-a,156,156,0,25,29,127,5,11,0.00103391,"2: 122, 1: 34","3: 72, 1: 72, 2: 12",2: 1,"3: 72, 1: 72, 2: 11"
balanced-importance-article_11,154,154,0,27,30,124,3,20,0.00114591,"2: 116, 1: 23, 3: 15","1: 59, 2: 37, 3: 36, 4: 22",2: 18,"1: 59, 3: 36, 4: 22, 2: 19"
unbalanced-article_5-1-e,144,144,0,99,52,92,1,52,0.00480769,"2: 128, 3: 12, 1: 4","3: 69, 4: 45, 2: 15, 1: 15","2: 7, 3: 5, 4: 1","3: 64, 4: 44, 1: 15, 2: 8"
balanced-doctypebranch-article_10,142,142,0,29,27,115,4,19,0.00144841,"1: 80, 2: 38, 3: 24","1: 59, 4: 36, 3: 24, 2: 23","2: 10, 3: 4, 1: 1","1: 58, 4: 36, 3: 20, 2: 13"
unbalanced-article_5-2,141,141,0,32,30,111,1,30,0.00162107,"2: 123, 3: 10, 1: 8","3: 57, 4: 47, 2: 24, 1: 13","2: 12, 4: 2, 3: 1","3: 56, 4: 45, 1: 13, 2: 12"
balanced-doctypebranch-article_7,139,139,0,6,10,129,4,4,0.00031279,"1: 76, 2: 38, 3: 25","4: 56, 1: 48, 2: 21, 3: 14","2: 3, 3: 1","4: 56, 1: 48, 2: 18, 3: 13"
balanced-importance-article_46-2,137,137,0,71,53,84,2,51,0.00381065,"2: 97, 1: 40","1: 55, 2: 52, 3: 30",2: 10,"1: 55, 2: 42, 3: 30"
balanced-doctypebranch-article_9,136,136,0,3,5,131,2,3,0.00016340,"2: 86, 1: 48, 3: 2","4: 73, 1: 36, 3: 16, 2: 11",2: 3,"4: 73, 1: 36, 3: 16, 2: 8"
