Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
balanced-doctypebranch-article_29,74,74,0,0,0,74,0,0,0.00000000,"2: 66, 1: 8","4: 49, 3: 14, 1: 11",,"4: 49, 3: 14, 1: 11"
balanced-doctypebranch-article_29-3,74,74,0,0,0,74,0,0,0.00000000,"2: 66, 1: 8","4: 49, 3: 14, 1: 11",,"4: 49, 3: 14, 1: 11"
unbalanced-article_6-3-a,72,72,0,23,16,56,1,16,0.00449922,"2: 64, 3: 5, 1: 3","3: 33, 4: 19, 2: 11, 1: 9","2: 7, 4: 2, 3: 2","3: 31, 4: 17, 1: 9, 2: 4"
unbalanced-article_P1-2,70,70,0,6,7,63,1,7,0.00124224,"2: 51, 1: 15, 3: 4","3: 25, 2: 17, 1: 17, 4: 11","2: 7, 4: 1","3: 25, 1: 17, 2: 10, 4: 10"
unbalanced-article_35-3-b,69,69,0,7,11,58,4,4,0.00149190,"2: 64, 1: 3, 3: 2","3: 58, 1: 5, 2: 3, 4: 3",,"3: 58, 1: 5, 2: 3, 4: 3"
balanced-importance-article_39,67,67,0,1,2,65,1,2,0.00022614,"2: 63, 1: 4","4: 45, 2: 14, 1: 7, 3: 1",2: 6,"4: 45, 2: 8, 1: 7, 3: 1"
balanced-doctypebranch-article_6-3,67,67,0,2,4,63,2,2,0.00045228,"1: 30, 3: 21, 2: 16","4: 25, 1: 25, 3: 13, 2: 4","3: 2, 2: 2","4: 25, 1: 25, 3: 11, 2: 2"
unbalanced-article_17,67,67,0,8,10,57,2,8,0.00180914,"2: 62, 1: 4, 3: 1","4: 23, 3: 22, 1: 13, 2: 9","2: 6, 3: 1","4: 23, 3: 21, 1: 13, 2: 3"
balanced-doctypebranch-article_11,66,66,0,2,4,62,2,2,0.00046620,"3: 31, 1: 24, 2: 11","4: 35, 1: 19, 3: 8, 2: 4",2: 4,"4: 35, 1: 19, 3: 8"
balanced-importance-article_4-2,61,61,0,24,22,39,3,16,0.00655738,"2: 52, 1: 8, 3: 1","1: 32, 2: 15, 3: 12, 4: 2",2: 9,"1: 32, 3: 12, 2: 6, 4: 2"
