combination,times_selected
in_degree_centrality+relative_in_degree_centrality,7
pagerank+in_degree_centrality,2
disruption+in_degree_centrality,7
pagerank+closeness_centrality,2
disruption+eigenvector_centrality,3
eigenvector_centrality+harmonic_centrality,1
disruption+harmonic_centrality,1
disruption+pagerank,6
disruption+closeness_centrality,2
closeness_centrality+in_degree_centrality,1
eigenvector_centrality+closeness_centrality,2
out_degree_centrality+hits_hub,1
pagerank+eigenvector_centrality,1
degree_centrality+core_number,1
harmonic_centrality+closeness_centrality,1
disruption+out_degree_centrality,1
core_number+degree_centrality,1
pagerank+disruption,1
