centrality,times_best_high,times_best_low,times_best_overall
eigenvector_centrality,4,1,4
pagerank,1,3,1
closeness_centrality,0,7,0
out_degree_centrality,3,0,3
core_number,0,1,0
degree_centrality,2,0,2
hits_hub,0,1,0
harmonic_centrality,0,2,0
disruption,10,2,10
in_degree_centrality,4,7,4
